instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
L_00000203,50,1 , 3600.0,0.869 , true, true,22.0,1450, 1450, 0.000 , 0.004, 0.865,2601, 251
L_00000204,50,1 , 3600.0,0.858 , true, true,15.0,1505, 1505, 0.000 , 0.005, 0.853,2601, 251
L_00000205,50,1 , 3600.0,2.056 , true, true,579.0,1385, 1385, 0.000 , 0.004, 2.052,2601, 251
L_00000206,50,1 , 3600.0,0.793 , true, true,17.0,1606, 1606, 0.000 , 0.006, 0.787,2601, 251
L_00000207,50,1 , 3600.0,1.344 , true, true,19.0,1348, 1348, 0.000 , 0.005, 1.339,2601, 251
L_00000208,50,1 , 3600.0,0.921 , true, true,13.0,1219, 1219, 0.000 , 0.006, 0.915,2601, 251
L_00000209,50,1 , 3600.0,1.398 , true, true,15.0,1239, 1239, 0.000 , 0.005, 1.393,2601, 251
L_00000210,50,1 , 3600.0,0.919 , true, true,15.0,1501, 1501, 0.000 , 0.004, 0.915,2601, 251
L_00000211,50,1 , 3600.0,1.176 , true, true,13.0,1214, 1214, 0.000 , 0.004, 1.172,2601, 251
L_00000212,50,1 , 3600.0,6.891 , true, true,251.0,1389, 1389, 0.000 , 0.004, 6.887,2601, 251
L_00000213,50,1 , 3600.0,1.261 , true, true,15.0,1459, 1459, 0.000 , 0.004, 1.257,2601, 251
L_00000214,50,1 , 3600.0,1.487 , true, true,46.0,1367, 1367, 0.000 , 0.006, 1.481,2601, 251
L_00000215,50,1 , 3600.0,2.139 , true, true,175.0,1551, 1551, 0.000 , 0.004, 2.135,2601, 251
L_00000216,50,1 , 3600.0,0.881 , true, true,13.0,1299, 1299, 0.000 , 0.006, 0.875,2601, 251
L_00000217,50,1 , 3600.0,0.979 , true, true,25.0,1448, 1448, 0.000 , 0.005, 0.974,2601, 251
L_00000218,50,1 , 3600.0,1.014 , true, true,26.0,1552, 1552, 0.000 , 0.005, 1.009,2601, 251
L_00000219,50,1 , 3600.0,1.076 , true, true,25.0,1433, 1433, 0.000 , 0.004, 1.072,2601, 251
L_00000220,50,1 , 3600.0,1.145 , true, true,15.0,1492, 1492, 0.000 , 0.004, 1.141,2601, 251
L_00000221,50,1 , 3600.0,1.953 , true, true,134.0,1556, 1556, 0.000 , 0.006, 1.947,2601, 251
