algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000129,30,true, 60.0, 0.367, 828, 828, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000130,30,true, 60.0, 0.316, 833, 833, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000131,30,true, 60.0, 0.497, 1044, 1044, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000132,30,true, 60.0, 0.383, 850, 850, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000133,30,true, 60.0, 0.428, 820, 820, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000134,30,true, 60.0, 0.541, 886, 886, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000135,30,true, 60.0, 0.414, 961, 961, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000136,30,true, 60.0, 0.341, 832, 832, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000137,30,true, 60.0, 0.442, 801, 801, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000138,30,true, 60.0, 0.404, 838, 838, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000139,30,true, 60.0, 0.324, 908, 908, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000140,30,true, 60.0, 0.381, 834, 834, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000141,30,true, 60.0, 0.397, 680, 680, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000142,30,true, 60.0, 0.298, 713, 713, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000143,30,true, 60.0, 0.295, 755, 755, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000144,30,true, 60.0, 0.439, 775, 775, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000145,30,true, 60.0, 0.314, 789, 789, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000146,30,true, 60.0, 0.358, 836, 836, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000147,30,true, 60.0, 0.344, 772, 772, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000148,30,true, 60.0, 0.368, 825, 825, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000149,30,true, 60.0, 0.333, 814, 814, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000150,40,true, 60.0, 0.750, 1220, 1220, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000151,40,true, 60.0, 0.723, 1140, 1140, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000152,40,true, 60.0, 0.684, 1049, 1049, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000153,40,true, 60.0, 0.541, 1151, 1151, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000154,40,true, 60.0, 0.477, 988, 988, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000155,40,true, 60.0, 0.502, 1186, 1186, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000156,40,true, 60.0, 0.642, 1162, 1162, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000157,40,true, 60.0, 0.969, 1247, 1247, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000158,40,true, 60.0, 0.865, 1174, 1174, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000159,40,true, 60.0, 0.830, 1198, 1198, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000160,40,true, 60.0, 2.026, 1323, 1323, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000161,40,true, 60.0, 0.683, 1024, 1024, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000162,40,true, 60.0, 1.055, 1133, 1133, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000163,40,true, 60.0, 0.856, 1130, 1130, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000164,40,true, 60.0, 0.743, 1158, 1158, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000165,40,true, 60.0, 1.016, 1117, 1117, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000166,40,true, 60.0, 0.732, 1055, 1055, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000167,40,true, 60.0, 0.685, 1286, 1286, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000168,40,true, 60.0, 1.760, 1246, 1246, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000169,40,true, 60.0, 0.762, 1044, 1044, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000170,40,true, 60.0, 1.040, 1022, 1022, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000171,40,true, 60.0, 0.825, 1079, 1079, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000172,40,true, 60.0, 1.070, 1176, 1176, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000173,40,true, 60.0, 0.674, 1074, 1074, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000174,40,true, 60.0, 0.732, 1111, 1111, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000175,40,true, 60.0, 0.879, 1113, 1113, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000176,40,true, 60.0, 0.651, 1005, 1005, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000177,40,true, 60.0, 0.896, 1181, 1181, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000178,40,true, 60.0, 1.326, 1139, 1139, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000179,40,true, 60.0, 0.627, 1203, 1203, 2, 1681, 201, 0
