algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
L_00000114,Mixed Integer Linear Programming, true, 60.0, 0.381, 987, 987, 2, 961, 151, 0
L_00000115,Mixed Integer Linear Programming, true, 60.0, 0.340, 813, 813, 2, 961, 151, 0
L_00000116,Mixed Integer Linear Programming, true, 60.0, 0.304, 784, 784, 2, 961, 151, 0
L_00000117,Mixed Integer Linear Programming, true, 60.0, 0.393, 900, 900, 2, 961, 151, 0
L_00000118,Mixed Integer Linear Programming, true, 60.0, 0.374, 850, 850, 2, 961, 151, 0
L_00000119,Mixed Integer Linear Programming, true, 60.0, 0.355, 932, 932, 2, 961, 151, 0
L_00000120,Mixed Integer Linear Programming, true, 60.0, 0.268, 1079, 1079, 2, 961, 151, 0
L_00000121,Mixed Integer Linear Programming, true, 60.0, 0.320, 817, 817, 2, 961, 151, 0
L_00000122,Mixed Integer Linear Programming, true, 60.0, 0.285, 743, 743, 2, 961, 151, 0
L_00000123,Mixed Integer Linear Programming, true, 60.0, 0.380, 810, 810, 2, 961, 151, 0
L_00000124,Mixed Integer Linear Programming, true, 60.0, 0.343, 809, 809, 2, 961, 151, 0
L_00000125,Mixed Integer Linear Programming, true, 60.0, 0.350, 847, 847, 2, 961, 151, 0
L_00000126,Mixed Integer Linear Programming, true, 60.0, 0.393, 811, 811, 2, 961, 151, 0
L_00000127,Mixed Integer Linear Programming, true, 60.0, 0.342, 915, 915, 2, 961, 151, 0
L_00000128,Mixed Integer Linear Programming, true, 60.0, 0.304, 823, 823, 2, 961, 151, 0
L_00000129,Mixed Integer Linear Programming, true, 60.0, 0.342, 828, 828, 2, 961, 151, 0
L_00000130,Mixed Integer Linear Programming, true, 60.0, 0.387, 833, 833, 2, 961, 151, 0
L_00000131,Mixed Integer Linear Programming, true, 60.0, 0.438, 1044, 1044, 2, 961, 151, 0
L_00000132,Mixed Integer Linear Programming, true, 60.0, 0.396, 850, 850, 2, 961, 151, 0
L_00000133,Mixed Integer Linear Programming, true, 60.0, 0.418, 820, 820, 2, 961, 151, 0
L_00000134,Mixed Integer Linear Programming, true, 60.0, 0.431, 886, 886, 2, 961, 151, 0
L_00000135,Mixed Integer Linear Programming, true, 60.0, 0.397, 961, 961, 2, 961, 151, 0
L_00000136,Mixed Integer Linear Programming, true, 60.0, 0.307, 832, 832, 2, 961, 151, 0
L_00000137,Mixed Integer Linear Programming, true, 60.0, 0.383, 801, 801, 2, 961, 151, 0
L_00000138,Mixed Integer Linear Programming, true, 60.0, 0.320, 838, 838, 2, 961, 151, 0
L_00000139,Mixed Integer Linear Programming, true, 60.0, 0.317, 908, 908, 2, 961, 151, 0
L_00000140,Mixed Integer Linear Programming, true, 60.0, 0.374, 834, 834, 2, 961, 151, 0
L_00000141,Mixed Integer Linear Programming, true, 60.0, 0.376, 680, 680, 2, 961, 151, 0
L_00000142,Mixed Integer Linear Programming, true, 60.0, 0.284, 713, 713, 2, 961, 151, 0
L_00000143,Mixed Integer Linear Programming, true, 60.0, 0.276, 755, 755, 2, 961, 151, 0
L_00000144,Mixed Integer Linear Programming, true, 60.0, 0.412, 775, 775, 2, 961, 151, 0
L_00000145,Mixed Integer Linear Programming, true, 60.0, 0.313, 789, 789, 2, 961, 151, 0
L_00000146,Mixed Integer Linear Programming, true, 60.0, 0.334, 836, 836, 2, 961, 151, 0
L_00000147,Mixed Integer Linear Programming, true, 60.0, 0.336, 772, 772, 2, 961, 151, 0
L_00000148,Mixed Integer Linear Programming, true, 60.0, 0.340, 825, 825, 2, 961, 151, 0
L_00000149,Mixed Integer Linear Programming, true, 60.0, 0.318, 814, 814, 2, 961, 151, 0
L_00000150,Mixed Integer Linear Programming, true, 60.0, 0.888, 1220, 1220, 2, 1681, 201, 0
L_00000151,Mixed Integer Linear Programming, true, 60.0, 0.780, 1140, 1140, 2, 1681, 201, 0
L_00000152,Mixed Integer Linear Programming, true, 60.0, 0.683, 1049, 1049, 2, 1681, 201, 0
L_00000153,Mixed Integer Linear Programming, true, 60.0, 0.542, 1151, 1151, 2, 1681, 201, 0
L_00000154,Mixed Integer Linear Programming, true, 60.0, 0.520, 988, 988, 2, 1681, 201, 0
