instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints, gurobiModelStatus
L_00000121, 30, 1, 3600.0, 0.339, true, true, 8, 817, 817, 0.000 , 0.001, 0.338, 961, 151, 2
L_00000122, 30, 1, 3600.0, 0.296, true, true, 9, 743, 743, 0.000 , 0.001, 0.295, 961, 151, 2
L_00000123, 30, 1, 3600.0, 0.349, true, true, 8, 810, 810, 0.000 , 0.001, 0.348, 961, 151, 2
L_00000124, 30, 1, 3600.0, 0.343, true, true, 8, 809, 809, 0.000 , 0.002, 0.341, 961, 151, 2
L_00000125, 30, 1, 3600.0, 0.347, true, true, 8, 847, 847, 0.000 , 0.002, 0.345, 961, 151, 2
L_00000126, 30, 1, 3600.0, 0.293, true, true, 9, 811, 811, 0.000 , 0.001, 0.292, 961, 151, 2
L_00000127, 30, 1, 3600.0, 0.450, true, true, 31, 915, 915, 0.000 , 0.001, 0.449, 961, 151, 2
L_00000128, 30, 1, 3600.0, 0.294, true, true, 9, 823, 823, 0.000 , 0.001, 0.293, 961, 151, 2
L_00000129, 30, 1, 3600.0, 0.339, true, true, 9, 828, 828, 0.000 , 0.002, 0.337, 961, 151, 2
L_00000130, 30, 1, 3600.0, 0.346, true, true, 8, 833, 833, 0.000 , 0.002, 0.344, 961, 151, 2
L_00000131, 30, 1, 3600.0, 0.363, true, true, 10, 1044, 1044, 0.000 , 0.001, 0.362, 961, 151, 2
L_00000132, 30, 1, 3600.0, 0.380, true, true, 11, 850, 850, 0.000 , 0.002, 0.378, 961, 151, 2
L_00000133, 30, 1, 3600.0, 0.465, true, true, 17, 820, 820, 0.000 , 0.001, 0.464, 961, 151, 2
L_00000134, 30, 1, 3600.0, 0.376, true, true, 10, 886, 886, 0.000 , 0.002, 0.374, 961, 151, 2
L_00000135, 30, 1, 3600.0, 0.717, true, true, 394, 961, 961, 0.000 , 0.002, 0.715, 961, 151, 2
L_00000136, 30, 1, 3600.0, 0.370, true, true, 8, 832, 832, 0.000 , 0.001, 0.369, 961, 151, 2
L_00000137, 30, 1, 3600.0, 0.375, true, true, 8, 801, 801, 0.000 , 0.001, 0.374, 961, 151, 2
L_00000138, 30, 1, 3600.0, 0.333, true, true, 9, 838, 838, 0.000 , 0.001, 0.332, 961, 151, 2
L_00000139, 30, 1, 3600.0, 0.581, true, true, 33, 908, 908, 0.000 , 0.002, 0.579, 961, 151, 2
L_00000140, 30, 1, 3600.0, 0.281, true, true, 9, 834, 834, 0.000 , 0.002, 0.279, 961, 151, 2
