instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000107,30,1,3600,1,1,933.000, 933.000, 0.000, 943.000, 919.000,0.067, 0.022, 0.055, 0.011, 0.032, 0.004,15, 15, 6,13,8,5,1,0,1,28914,25626,122,
L_00000108,30,1,3600,1,1,805.000, 805.000, 0.000, 808.000, 800.000,0.041, 0.023, 0.030, 0.009, 0.015, 0.003,8, 8, 2,5,3,2,1,0,0,12644,11033,205,
L_00000109,30,1,3600,1,1,897.000, 897.000, 0.000, 907.000, 879.000,0.048, 0.015, 0.036, 0.011, 0.022, 0.003,11, 11, 2,5,3,2,1,0,0,20851,18065,228,
L_00000110,30,1,3600,1,1,783.000, 783.000, 0.000, 784.000, 776.000,0.052, 0.034, 0.041, 0.006, 0.030, 0.003,11, 11, 2,5,3,2,1,0,0,19587,17419,93,
L_00000111,30,1,3600,1,1,807.000, 807.000, 0.000, 808.000, 802.000,0.080, 0.052, 0.067, 0.009, 0.051, 0.004,14, 14, 5,11,6,5,1,0,0,30802,27576,173,
L_00000112,30,1,3600,1,1,758.000, 758.000, 0.000, 758.000, 748.000,0.034, 0.014, 0.023, 0.006, 0.013, 0.003,9, 9, 1,3,3,0,1,1,0,10818,9554,97,
L_00000113,30,1,3600,1,1,782.000, 782.000, 0.000, 782.000, 775.000,0.031, 0.014, 0.019, 0.006, 0.008, 0.003,7, 7, 1,3,3,0,1,1,0,6190,5179,252,
L_00000114,30,1,3600,1,1,987.000, 987.000, 0.000, 999.000, 978.000,0.346, 0.029, 0.299, 0.089, 0.126, 0.014,90, 90, 52,105,56,49,1,3,0,110267,97314,384,
L_00000115,30,1,3600,1,1,813.000, 813.000, 0.000, 814.000, 809.000,0.040, 0.019, 0.028, 0.007, 0.017, 0.004,11, 11, 2,5,3,2,1,0,0,13233,11593,58,
L_00000116,30,1,3600,1,1,784.000, 784.000, 0.000, 784.000, 777.000,0.031, 0.019, 0.021, 0.002, 0.012, 0.003,6, 6, 1,3,3,0,1,1,0,9453,8361,115,
L_00000117,30,1,3600,1,1,900.000, 900.000, 0.000, 900.000, 882.000,0.045, 0.014, 0.034, 0.008, 0.022, 0.003,11, 11, 1,3,3,0,1,1,0,20344,17635,157,
L_00000118,30,1,3600,1,1,850.000, 850.000, 0.000, 850.000, 849.000,0.031, 0.015, 0.020, 0.005, 0.011, 0.004,7, 7, 1,3,3,0,1,1,0,9628,8416,156,
L_00000119,30,1,3600,1,1,932.000, 932.000, 0.000, 936.000, 918.000,2.590, 0.017, 2.523, 0.630, 0.113, 0.013,717, 717, 356,713,685,28,18,311,0,86568,77588,342,
L_00000120,30,1,3600,1,1,1079.000, 1079.000, 0.000, 1103.000, 1079.000,0.042, 0.021, 0.030, 0.009, 0.017, 0.003,11, 11, 3,7,4,3,1,0,0,13750,11889,161,
L_00000121,30,1,3600,1,1,817.000, 817.000, 0.000, 818.000, 813.000,0.053, 0.037, 0.042, 0.007, 0.029, 0.004,8, 8, 3,7,4,3,1,0,0,22175,19462,92,
L_00000122,30,1,3600,1,1,743.000, 743.000, 0.000, 743.000, 732.000,0.043, 0.018, 0.031, 0.002, 0.023, 0.003,11, 11, 1,3,3,0,1,1,0,16812,15212,46,
L_00000123,30,1,3600,1,1,810.000, 810.000, 0.000, 810.000, 805.000,0.035, 0.017, 0.025, 0.006, 0.014, 0.004,12, 12, 1,3,3,0,1,1,0,12757,11200,73,
L_00000124,30,1,3600,1,1,809.000, 809.000, 0.000, 809.000, 804.000,0.027, 0.015, 0.017, 0.004, 0.008, 0.004,6, 6, 1,3,3,0,1,1,0,5731,4888,132,
L_00000125,30,1,3600,1,1,847.000, 847.000, 0.000, 847.000, 846.000,0.034, 0.015, 0.018, 0.005, 0.010, 0.005,9, 9, 1,3,3,0,1,1,0,8633,7385,108,
L_00000126,30,1,3600,1,1,811.000, 811.000, 0.000, 811.000, 807.000,0.047, 0.028, 0.036, 0.006, 0.024, 0.003,11, 11, 1,3,3,0,1,1,0,20115,17095,238,
L_00000127,30,1,3600,1,1,915.000, 915.000, 0.000, 918.000, 899.000,0.455, 0.019, 0.432, 0.113, 0.051, 0.008,172, 172, 83,167,160,7,4,73,0,44649,40171,265,
L_00000128,30,1,3600,1,1,823.000, 823.000, 0.000, 823.000, 820.000,0.043, 0.027, 0.032, 0.006, 0.021, 0.004,10, 10, 1,3,3,0,1,1,0,16230,14107,427,
L_00000129,30,1,3600,1,1,828.000, 828.000, 0.000, 830.000, 825.000,0.042, 0.017, 0.030, 0.006, 0.017, 0.005,10, 10, 3,7,5,2,1,0,1,13944,12046,190,
L_00000130,30,1,3600,1,1,833.000, 833.000, 0.000, 833.000, 831.000,0.035, 0.020, 0.024, 0.005, 0.014, 0.004,8, 8, 1,3,3,0,1,1,0,12841,11348,120,
L_00000131,30,1,3600,1,1,1044.000, 1044.000, 0.000, 1050.000, 1041.000,0.052, 0.016, 0.037, 0.012, 0.019, 0.004,16, 16, 6,13,7,6,1,0,0,14754,12727,338,
